Jan  1 00:00:01 syslogd started: BusyBox v1.27.2
Jan  1 00:00:01 kernel: klogd started: BusyBox v1.27.2 (2021-06-26 00:12:45 UTC)
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0xff,0xff,0xff,0xff"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_wom    :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0xff,0xff,0xff,0xff"
Jan  1 03:20:02 womDaemon: 2016-01-01T03:20:02.745    [INFO]: [WOM]: received CN
Jan  1 03:20:02 womDaemon: 2016-01-01T03:20:02.745    [INFO]: [WOM]: onEvent: received event kWomEvent_SDNotOk while in state kWomState_Idle
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0xff,0xff,0xff,0xff"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_WOV_ACTIVE(0x2e) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_BATTERY_LIFE(0x2b) <- "0x13,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_wif     CSI Notify(dyn)-CSI_BATTERY_LIFE(0x2b) <- "0x13,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_BATTERY_EXTERNAL_POWER(0x3d) <- "0x01,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_wif     CSI Notify(dyn)-CSI_BATTERY_EXTERNAL_POWER(0x3d) <- "0x01,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_FW_FORCE_UPDATE(0x88) <- "0x01,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_wif    :CN /fr_wif     CSI Notify(dyn)-CSI_FW_FORCE_UPDATE(0x88) <- "0x01,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_ath    :CN /fr_wif     CSI Notify(dyn)-CSI_FW_FORCE_UPDATE(0x88) <- "0x01,0x00,0x00,0x00"
Jan  1 03:20:02 gpAth: [I][ATH ]  parse_csi_state() - CSI_FW_FORCE_UPDATE = 1
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_wif     CSI Notify(dyn)-CSI_FW_FORCE_UPDATE(0x88) <- "0x01,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0x04,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_wom    :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0x04,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0x04,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_wom    :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_wif     CSI Notify(dyn)-CSI_SD_CARD_STATE(0x3e) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_pla    :CN /fr_gpnet   CSI Notify(dyn)-CSI_ST_STATE(0x22) <- "0x04"
Jan  1 03:20:02 kernel: [    3.891879] womDaemon (148): drop_caches: 3
Jan  1 03:20:03 gpNet: [I][CSI ]      log_csi_msg() - /to_gpCtlD :CN /fr_gpCtlD  CSI Notify(dyn)-CSI_PRESETS_MODIFIED(0x07) <- "0x00,0x00,0x00,0x06"
Jan  1 03:20:03 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_gpCtlD  CSI Notify(dyn)-CSI_PRESETS_MODIFIED(0x07) <- "0x00,0x00,0x00,0x06"
Jan  1 03:20:03 womDaemon: 2016-01-01T03:20:02.792    [INFO]: [WOM]: received CN
Jan  1 03:20:03 womDaemon: 2016-01-01T03:20:03.102    [INFO]: [WOM]: onEvent: received event kWomEvent_SDNotOk while in state kWomState_Idle
Jan  1 03:20:03 womDaemon: 2016-01-01T03:20:03.124    [INFO]: [WOM]: received CN
Jan  1 03:20:03 kernel: [    4.223979] womDaemon (148): drop_caches: 3
Jan  1 03:20:03 kernel: [    4.231476] dwc3-milbeaut 1ba60000.usb31: dwc3: dr_mode is Peripheral
Jan  1 03:20:03 gpNet: [I][GNET]  parseSendScript() - gpauto > /usr/local/gopro/scripts/gpsend SC%02&
Jan  1 03:20:03 gpNet: [I][GNET]  parseSendScript() - gpauto > /usr/local/gopro/scripts/gpsend &
Jan  1 03:20:03 gpUsb: [I][USB ] usb_handle_init_response() - Starting [/bin/sh /usr/bin/mtp_script.sh C34XXXXXXXXXXX 83 HERO10 Black] returns: [0]
Jan  1 03:20:03 gpUsb: [I][USB ] process_arriving_message() - index : 11
Jan  1 03:20:03 gpUsb: [I][USB ]             main() - Message received from IPC = 51
Jan  1 03:20:03 gpUsb: [I][USB ] process_arriving_message() - cmd : SC, value : ^A
Jan  1 03:20:03 gpUsb: [I][USB ] usb_sd_state_change() -  current state : 1 
Jan  1 03:20:03 gpNet: [I][CSI ]      log_csi_msg() - /to_pla    :CN /fr_gpnet   CSI Notify(dyn)-CSI_ST_STATE(0x22) <- "0x0c"
Jan  1 03:20:03 kernel: [    4.325373] sh (187): drop_caches: 3
Jan  1 03:20:03 gpNet: [I][GNET]  start_sched_cap() - starting sched capture
Jan  1 03:20:03 gpNet: [I][GNET]  start_sched_cap() - /frcsi     : Start Scheduled Capture
